NAME,YEAR,CATEGORY,SUB_CATEGORY,MONTH,VALUE
Gas,2022,EXPENSE,UTILITY,FEBUARY,42.5
Gas,2021,EXPENSE,UTILITY,FEBUARY,
Gifts Received,2024,INCOME,OTHER,FEBUARY,1000.0
Gifts Received,2023,INCOME,OTHER,FEBUARY,
Gifts Received,2022,INCOME,OTHER,FEBUARY,
Gifts Received,2021,INCOME,OTHER,FEBUARY,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,FEBUARY,76.92
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,FEBUARY,
Internet,2024,EXPENSE,UTILITY,FEBUARY,32.5
Internet,2023,EXPENSE,UTILITY,FEBUARY,32.5
Internet,2022,EXPENSE,UTILITY,FEBUARY,27.945
Internet,2021,EXPENSE,UTILITY,FEBUARY,
loan,2024,INCOME,OTHER,FEBUARY,
loan,2023,INCOME,OTHER,FEBUARY,
loan,2022,INCOME,OTHER,FEBUARY,1700.0
loan,2021,INCOME,OTHER,FEBUARY,
Other,2024,INCOME,OTHER,FEBUARY,
Other,2023,INCOME,OTHER,FEBUARY,
Other,2022,INCOME,OTHER,FEBUARY,
Other,2021,INCOME,OTHER,FEBUARY,
Other,2022,EXPENSE,OTHER,FEBUARY,
Other USAA,2024,BANK,CARD,FEBUARY,0.0
Other USAA,2023,BANK,CARD,FEBUARY,
Phone,2024,EXPENSE,UTILITY,FEBUARY,73.0
Phone,2023,EXPENSE,UTILITY,FEBUARY,
Phone,2022,EXPENSE,UTILITY,FEBUARY,
Phone,2021,EXPENSE,UTILITY,FEBUARY,
Refunds/Reimbursements,2024,INCOME,OTHER,FEBUARY,198.0
Refunds/Reimbursements,2023,INCOME,OTHER,FEBUARY,
Refunds/Reimbursements,2022,INCOME,OTHER,FEBUARY,
Refunds/Reimbursements,2021,INCOME,OTHER,FEBUARY,
Rent,2023,EXPENSE,RENT,FEBUARY,1027.5
Rent,2022,EXPENSE,RENT,FEBUARY,965.5
Rent,2021,EXPENSE,RENT,FEBUARY,
Rent,2024,EXPENSE,RENT,FEBUARY,1069.0
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,FEBUARY,866.0
Stock Purchase Plan,2023,INCOME,EMPLOYEE_BENEFIT,FEBUARY,
Transfer From Savings,2021,INCOME,OTHER,FEBUARY,
venmo,2024,INCOME,OTHER,FEBUARY,2653.0
venmo,2023,INCOME,OTHER,FEBUARY,
venmo,2022,INCOME,OTHER,FEBUARY,
Wage,2024,INCOME,WAGE,FEBUARY,4452.0
Wage,2023,INCOME,WAGE,FEBUARY,3205.0
wage,2022,INCOME,WAGE,FEBUARY,500.0
Wage,2021,INCOME,WAGE,FEBUARY,
Water/Sewer/Trash,2024,EXPENSE,UTILITY,FEBUARY,
Water/Sewer/Trash,2023,EXPENSE,UTILITY,FEBUARY,
Water/Sewer/Trash,2022,EXPENSE,UTILITY,FEBUARY,
Water/Sewer/Trash,2021,EXPENSE,UTILITY,FEBUARY,
401k,2024,INCOME,EMPLOYEE_BENEFIT,MARCH,1284.0
401k,2023,INCOME,EMPLOYEE_BENEFIT,MARCH,1209.0
American Express,2024,BANK,CARD,MARCH,1661.0
American Express,2023,BANK,CARD,MARCH,0.0
Apple,2024,BANK,CARD,MARCH,0.0
Apple,2023,BANK,CARD,MARCH,
Chase,2024,BANK,CARD,MARCH,16.0
Chase,2023,BANK,CARD,MARCH,164.0
Debt re-payment,2024,EXPENSE,OTHER,MARCH,500.0
Debt re-payment,2023,EXPENSE,OTHER,MARCH,500.0
Discover,2024,BANK,CARD,MARCH,72.0
Discover,2023,BANK,CARD,MARCH,2238.0
Discover,2022,BANK,CARD,MARCH,910.32
Discover,2021,BANK,CARD,MARCH,
Dividends,2024,INCOME,OTHER,MARCH,
Dividends,2023,INCOME,OTHER,MARCH,
Dividends,2022,INCOME,OTHER,MARCH,
Dividends,2021,INCOME,OTHER,MARCH,
Electricity,2024,EXPENSE,UTILITY,MARCH,56.0
Electricity,2023,EXPENSE,UTILITY,MARCH,39.5
Electricity,2022,EXPENSE,UTILITY,MARCH,55.13
Electricity,2021,EXPENSE,UTILITY,MARCH,
Gas,2024,EXPENSE,UTILITY,MARCH,48.0
Gas,2023,EXPENSE,UTILITY,MARCH,47.0
Gas,2022,EXPENSE,UTILITY,MARCH,45.75
Gas,2021,EXPENSE,UTILITY,MARCH,
Gifts Received,2024,INCOME,OTHER,MARCH,0.0
Gifts Received,2023,INCOME,OTHER,MARCH,
Gifts Received,2022,INCOME,OTHER,MARCH,
Gifts Received,2021,INCOME,OTHER,MARCH,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,MARCH,76.92
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,MARCH,80.0
Internet,2024,EXPENSE,UTILITY,MARCH,32.5
Internet,2023,EXPENSE,UTILITY,MARCH,32.665
Internet,2022,EXPENSE,UTILITY,MARCH,27.945
Internet,2021,EXPENSE,UTILITY,MARCH,
loan,2024,INCOME,OTHER,MARCH,
loan,2023,INCOME,OTHER,MARCH,
loan,2022,INCOME,OTHER,MARCH,1700.0
loan,2021,INCOME,OTHER,MARCH,
Other,2024,INCOME,OTHER,MARCH,
Other,2023,INCOME,OTHER,MARCH,
Other,2022,INCOME,OTHER,MARCH,
Other,2021,INCOME,OTHER,MARCH,
Other,2022,EXPENSE,OTHER,MARCH,
Other USAA,2024,BANK,CARD,MARCH,43.0
Other USAA,2023,BANK,CARD,MARCH,
Phone,2024,EXPENSE,UTILITY,MARCH,73.0
Phone,2023,EXPENSE,UTILITY,MARCH,75.0
Phone,2022,EXPENSE,UTILITY,MARCH,
Phone,2021,EXPENSE,UTILITY,MARCH,
Refunds/Reimbursements,2024,INCOME,OTHER,MARCH,0.0
Refunds/Reimbursements,2023,INCOME,OTHER,MARCH,1393.0
Refunds/Reimbursements,2022,INCOME,OTHER,MARCH,1902.0
Refunds/Reimbursements,2021,INCOME,OTHER,MARCH,
Rent,2023,EXPENSE,RENT,MARCH,1078.5
Rent,2022,EXPENSE,RENT,MARCH,964.0
Rent,2021,EXPENSE,RENT,MARCH,
Rent,2024,EXPENSE,RENT,MARCH,1069.5
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,MARCH,856.0
Stock Purchase Plan,2023,INCOME,EMPLOYEE_BENEFIT,MARCH,
Transfer From Savings,2021,INCOME,OTHER,MARCH,
venmo,2024,INCOME,OTHER,MARCH,
venmo,2023,INCOME,OTHER,MARCH,
venmo,2022,INCOME,OTHER,MARCH,
Wage,2024,INCOME,WAGE,MARCH,4676.0
Wage,2023,INCOME,WAGE,MARCH,4940.0
wage,2022,INCOME,WAGE,MARCH,500.0
Wage,2021,INCOME,WAGE,MARCH,
Water/Sewer/Trash,2024,EXPENSE,UTILITY,MARCH,
Water/Sewer/Trash,2023,EXPENSE,UTILITY,MARCH,
Water/Sewer/Trash,2022,EXPENSE,UTILITY,MARCH,
Water/Sewer/Trash,2021,EXPENSE,UTILITY,MARCH,
401k,2024,INCOME,EMPLOYEE_BENEFIT,APRIL,1240.0
401k,2023,INCOME,EMPLOYEE_BENEFIT,APRIL,1209.0
American Express,2024,BANK,CARD,APRIL,1864.0
American Express,2023,BANK,CARD,APRIL,2963.0
Apple,2024,BANK,CARD,APRIL,0.0
Apple,2023,BANK,CARD,APRIL,
Chase,2024,BANK,CARD,APRIL,85.0
Chase,2023,BANK,CARD,APRIL,41.64
Debt re-payment,2024,EXPENSE,OTHER,APRIL,500.0
Debt re-payment,2023,EXPENSE,OTHER,APRIL,500.0
Discover,2024,BANK,CARD,APRIL,9.0
